Designator,Val,Package,Mid X,Mid Y,Rotation,Side
R48,10R,R_0603_1608Metric,158.75,-116.205,0,top
R49,10R,R_0603_1608Metric,178.435,-103.505,90,top
R50,10K,R_0603_1608Metric,175.895,-92.71,180,top
R51,10K,R_0603_1608Metric,175.895,-93.98,0,top
R52,10K,R_0603_1608Metric,175.895,-95.25,180,top
RN1,10K,SOIC-16_3.9x9.9mm_P1.27mm,109.22,-111.125,90,top
U1,OPA21xx,SOIC-8_3.9x4.9mm_P1.27mm,100.33,-111.125,90,top
U2,LM399,Analog_TO-46-4_ThermalShield,104.775,-86.995,90,top
U3,CD4053B,SOIC-16_3.9x9.9mm_P1.27mm,120.65,-111.125,90,top
U4,OPA1xx,SOIC-8_3.9x4.9mm_P1.27mm,138.43,-111.125,-90,top
U5,OPA1xx,SOIC-8_3.9x4.9mm_P1.27mm,130.81,-111.125,90,top
U6,OPA1xx,SOIC-8_3.9x4.9mm_P1.27mm,127,-88.9,90,top
U7,431,SOT-23,121.92,-86.36,90,top
U8,431,SOT-23,121.92,-91.44,90,top
U9,408,SOIC-16_3.9x9.9mm_P1.27mm,135.89,-88.9,-90,top
U10,LM311,SOIC-8_3.9x4.9mm_P1.27mm,153.035,-97.79,0,top
U11,NE5534,SOIC-8_3.9x4.9mm_P1.27mm,153.035,-104.14,0,top
U12,OPA197,SOIC-8_3.9x4.9mm_P1.27mm,153.035,-113.03,0,top
U13,431,SOT-23,151.13,-81.915,0,top
U14,431,SOT-23,151.765,-108.585,0,top
U15,MCP3202,SOIC-8_3.9x4.9mm_P1.27mm,153.035,-119.38,0,top
U16,Pico,RPi_Pico_SMD_TH,177.8,-99.695,0,top
U17,LM35,TO-92,96.88,-120.015,90,top
U18,ADuM121N,SOIC-8_3.9x4.9mm_P1.27mm,177.8,-109.22,-90,top
U19,431,SOT-23,179.705,-95.25,0,top
