Ref,Val,Package,PosX,PosY,Rot,Side
"R32","1K","R_0603_1608Metric",147.320000,-88.265000,0.000000,top
"R33","1K","R_0603_1608Metric",147.320000,-97.155000,0.000000,top
"R34","100K","R_0603_1608Metric",147.320000,-95.885000,0.000000,top
"R35","1K","R_0603_1608Metric",158.750000,-98.425000,0.000000,top
"R36","10K","R_0603_1608Metric",147.320000,-103.505000,0.000000,top
"R37","10R","R_0603_1608Metric",158.750000,-102.235000,0.000000,top
"R38","10R","R_0603_1608Metric",147.320000,-104.775000,0.000000,top
"R39","10R","R_0603_1608Metric",158.750000,-111.125000,0.000000,top
"R40","10R","R_0603_1608Metric",147.320000,-113.665000,0.000000,top
"R41","2K4","R_0603_1608Metric",147.320000,-79.375000,180.000000,top
"R42","7K5","R_0603_1608Metric",147.320000,-80.645000,0.000000,top
"R43","10K","R_0603_1608Metric",147.320000,-81.915000,180.000000,top
"R44","50K","R_0603_1608Metric",147.320000,-112.395000,0.000000,top
"R45","25K","R_0603_1608Metric",147.320000,-111.125000,0.000000,top
"R46","5K6","R_0603_1608Metric",158.750000,-108.585000,0.000000,top
"R47","15K","R_0603_1608Metric",158.750000,-113.665000,180.000000,top
"R48","10R","R_0603_1608Metric",158.750000,-116.205000,0.000000,top
"R49","10R","R_0603_1608Metric",178.435000,-103.505000,90.000000,top
"R50","10K","R_0603_1608Metric",175.895000,-92.710000,180.000000,top
"R51","10K","R_0603_1608Metric",175.895000,-93.980000,0.000000,top
"R52","10K","R_0603_1608Metric",175.895000,-95.250000,180.000000,top
"RN1","10K","SOIC-16_3.9x9.9mm_P1.27mm",109.220000,-111.125000,90.000000,top
"U1","OPA21xx","SOIC-8_3.9x4.9mm_P1.27mm",100.330000,-111.125000,90.000000,top
"U2","LM399","Analog_TO-46-4_ThermalShield",104.775000,-86.995000,90.000000,top
"U3","CD4053B","SOIC-16_3.9x9.9mm_P1.27mm",120.650000,-111.125000,90.000000,top
"U4","OPA1xx","SOIC-8_3.9x4.9mm_P1.27mm",138.430000,-111.125000,-90.000000,top
"U5","OPA1xx","SOIC-8_3.9x4.9mm_P1.27mm",130.810000,-111.125000,90.000000,top
"U6","OPA1xx","SOIC-8_3.9x4.9mm_P1.27mm",127.000000,-88.900000,90.000000,top
"U7","431","SOT-23",121.920000,-86.360000,90.000000,top
"U8","431","SOT-23",121.920000,-91.440000,90.000000,top
"U9","408","SOIC-16_3.9x9.9mm_P1.27mm",135.890000,-88.900000,-90.000000,top
"U10","LM311","SOIC-8_3.9x4.9mm_P1.27mm",153.035000,-97.790000,0.000000,top
"U11","NE5534","SOIC-8_3.9x4.9mm_P1.27mm",153.035000,-104.140000,0.000000,top
"U12","OPA197","SOIC-8_3.9x4.9mm_P1.27mm",153.035000,-113.030000,0.000000,top
"U13","431","SOT-23",151.130000,-81.915000,0.000000,top
"U14","431","SOT-23",151.765000,-108.585000,0.000000,top
"U15","MCP3202","SOIC-8_3.9x4.9mm_P1.27mm",153.035000,-119.380000,0.000000,top
"U16","Pico","RPi_Pico_SMD_TH",177.800000,-99.695000,0.000000,top
"U17","LM35","TO-92",96.880000,-120.015000,90.000000,top
"U18","ADuM121N","SOIC-8_3.9x4.9mm_P1.27mm",177.800000,-109.220000,-90.000000,top
"U19","431","SOT-23",179.705000,-95.250000,0.000000,top
